perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3.6_months_late,Count_6.12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
0.304,23366,105110,0,0,0,97.37,6,A,Rural,5400,1
0.411,10598,27870,0,0,0,99.12,14,A,Rural,1200,1
0.312,15341,177630,0,0,0,99.11,6,A,Urban,9600,1
0.021,28477,120110,0,0,0,98.7,11,B,Urban,5400,1
0.06,18257,37580,0,0,0,98.75,8,A,Rural,3300,1
0.478,28120,144100,0,0,0,99.25,14,A,Urban,5400,1
0.354,24098,174140,0,0,0,98.34,19,A,Rural,1200,1
0.963,9134,66090,2,0,0,99.19,12,A,Urban,5400,1
0.041,19359,270080,0,0,0,99.38,6,A,Urban,13800,1
0.3,20451,219580,0,0,0,99.86,3,A,Rural,11700,1
0.138,25190,261600,0,0,0,98.9,13,A,Urban,15900,1
0.018,22637,249070,0,0,0,99.54,17,A,Urban,13800,1
0.066,16435,334860,0,0,0,99.21,6,C,Urban,24300,1
0.067,18265,87540,0,0,0,98.07,8,B,Urban,3300,1
0.009,18261,269970,1,0,0,98.88,23,A,Rural,1200,1
0.033,23367,158530,0,0,0,99.56,13,A,Urban,7500,1
0,20083,456120,0,0,0,99.32,12,A,Urban,3300,1
0.608,23374,271140,0,0,0,98.38,11,A,Urban,28500,1
0.034,12058,216100,0,0,0,99.88,7,C,Rural,11700,1
0.443,15339,274610,0,0,0,99.29,9,B,Urban,24300,1
0.065,14244,340140,0,0,0,99.32,7,D,Urban,26400,1
0,17526,281220,0,0,0,99.11,11,D,Urban,1200,1
0.796,17531,774150,1,2,0,99.71,11,B,Urban,45300,0
0.985,20450,300150,1,0,1,99.71,13,A,Urban,20100,0
0.238,23737,450050,0,0,0,99.59,19,A,Urban,26400,1
0.901,12057,36440,0,0,0,99.58,5,A,Urban,5700,1
0.49,18264,240100,0,0,0,98.86,16,D,Urban,11700,1
0.652,24830,285120,0,0,0,97.8,20,A,Urban,18000,1
0.902,18620,175020,0,0,0,97.2,21,C,Urban,13800,1
0.544,18258,199590,2,3,1,98.75,10,C,Urban,9600,1
0.676,12418,270090,2,0,0,99.62,17,B,Rural,20100,0
0.555,19353,287910,2,1,2,99.06,11,B,Rural,24300,0
0.097,18264,245570,0,0,0,99.31,13,A,Urban,20100,1
0.013,25559,174120,0,0,0,99.89,19,A,Urban,3300,1
0.936,16075,187560,0,0,0,99.54,5,B,Urban,11700,1
0.9,13515,184960,0,0,0,98.75,12,D,Urban,13800,1
0.021,18624,192330,0,0,0,99.47,12,C,Urban,13800,1
0.878,12424,210090,1,3,0,99.86,4,C,Urban,7500,1
0.025,16432,250070,1,0,0,99.36,12,D,Urban,13800,1
0.981,18992,33210,0,0,0,96.76,8,A,Urban,3300,1
0.417,18624,214750,0,0,0,98.46,12,A,Urban,13800,1
0.022,14240,94960,0,0,0,98.92,5,B,Rural,5700,1
0,20082,124340,0,0,0,NA,8,A,Urban,5400,1
0.676,20812,400770,2,0,0,99.19,10,A,Urban,22200,1
0.723,19724,379410,0,0,0,99.3,15,D,Urban,15900,1
0.054,17534,241570,0,0,0,99.36,9,A,Rural,11700,1
0.541,18629,604430,0,0,0,99.35,16,D,Rural,47400,1
0.004,13154,125080,0,0,0,98.08,11,B,Rural,9600,1
0.019,13878,69750,0,0,0,NA,4,A,Rural,1200,1
0.034,27750,125110,0,0,0,99.87,6,B,Rural,3300,1
0.095,16798,201070,0,0,0,99.71,5,A,Rural,9600,1
0.211,26660,108130,0,0,0,99.1,12,B,Urban,3300,1
0.487,25197,202420,0,0,0,99.21,11,D,Urban,9600,1
0.042,18625,159720,0,0,0,99.31,8,A,Rural,3300,1
0.005,28117,150140,1,0,0,98.73,10,B,Rural,7500,1
0.412,16802,412550,1,0,0,99.14,10,A,Urban,20100,1
0.221,19360,137540,3,2,0,99.33,16,A,Urban,9600,0
0.128,23740,170070,0,0,0,99.17,16,A,Rural,9600,1
0.037,26651,248310,0,0,0,99.75,12,B,Urban,20100,1
0.003,16798,180150,0,0,0,98.89,20,B,Urban,18000,1
0.501,13876,218760,0,0,0,99.13,6,A,Urban,3300,1
0.043,22637,129970,0,0,0,99.07,11,B,Urban,13800,1
0.031,19356,195850,0,0,0,99.29,15,D,Urban,22200,1
0.056,14242,250060,0,0,0,99.69,6,C,Rural,3300,1
0.057,23006,210050,0,0,0,99.35,10,A,Urban,11700,1
0.026,28842,189630,0,0,0,99.89,5,A,Rural,20100,1
0.026,24465,222050,0,0,0,99.85,9,A,Rural,24300,1
0.603,17161,162520,2,0,0,99.01,12,B,Urban,11700,1
0.027,23000,236380,0,0,0,99.71,8,A,Rural,11700,1
1,11685,42060,1,0,0,99.22,3,A,Urban,5700,1
0.017,26651,75100,0,0,0,99.88,7,A,Rural,5700,1
0.029,21550,80730,0,0,0,99.2,10,A,Urban,5400,1
0.786,11328,60060,0,0,0,99.62,4,C,Rural,7500,1
0,19718,430120,0,0,0,99.49,9,D,Rural,3300,1
0.027,14974,137640,0,0,0,98.32,10,A,Rural,1200,1
0.499,24099,80790,2,1,1,97.66,15,C,Rural,7500,1
0.665,24101,60120,0,0,1,99.64,4,A,Rural,5400,1
0.753,15710,258860,4,2,0,98.74,18,A,Urban,20100,0
0.387,10234,120090,0,0,0,99.61,8,B,Urban,9600,1
1,11690,234040,0,0,0,NA,2,A,Urban,22200,1
0.509,22270,339040,0,0,0,98.92,13,A,Rural,13800,1
0.308,19359,310940,0,0,0,97.88,10,A,Rural,13800,1
0.029,31769,2910090,0,0,0,99.86,7,A,Rural,60000,1
0.275,21908,180090,0,0,0,99.42,8,A,Urban,9600,1
0.749,14607,133160,2,0,2,99.68,11,B,Rural,5400,1
0.03,12056,112620,1,0,0,98.72,21,A,Urban,3300,1
0.508,12419,36080,2,0,0,97.08,6,A,Urban,5700,1
0.892,15707,73320,0,7,0,94.63,12,C,Urban,7500,1
0.401,17525,175060,2,0,0,98.68,14,D,Urban,9600,1
0.111,18995,625040,0,0,0,98.99,24,A,Urban,26400,1
0.03,22275,76540,0,0,0,99.87,7,A,Urban,7500,1
0.303,23003,474770,0,0,0,99.38,11,A,Urban,41100,1
0.113,23371,25100,0,0,0,99.48,6,A,Urban,1200,1
0.367,25921,102040,0,0,0,98.48,13,B,Urban,3300,1
0.022,24098,315090,0,0,0,99.89,12,A,Urban,13800,1
0.024,32862,195090,0,0,0,NA,4,A,Urban,11700,1
0.118,24826,426310,0,0,0,99.03,9,A,Urban,22200,1
0,15345,374810,0,0,0,99.33,13,D,Urban,26400,1
0,14240,210150,1,0,0,98.98,8,B,Urban,13800,1
0,24831,100890,0,0,0,99.87,6,A,Urban,3300,1
0.022,14249,300030,0,0,0,98.54,14,C,Urban,11700,1
0.097,8765,60070,0,0,0,99.81,7,A,Urban,5400,1
0,18994,111110,0,0,0,NA,11,A,Urban,7500,1
0.477,13153,81050,0,0,0,99.12,8,A,Rural,1200,1
0.084,12789,112290,0,0,0,99.05,10,C,Urban,5400,1
0.349,16802,120150,0,1,0,99.73,5,B,Urban,9600,1
0.019,8038,60050,0,0,0,NA,4,A,Urban,5700,1
0.022,16798,180040,0,0,0,97.48,21,B,Urban,9600,1
0.946,18620,89950,0,0,0,99.13,5,D,Urban,3300,1
0.044,26288,360060,1,0,0,99.46,12,A,Urban,32700,1
0.189,21178,210060,1,0,0,99.45,10,C,Rural,5400,1
0.025,31401,43420,0,0,0,99.89,8,A,Rural,1200,1
0.339,12420,80080,0,0,0,NA,7,A,Urban,9600,1
0.75,20819,102600,0,0,0,97.35,7,B,Urban,5400,1
0.29,18985,76780,0,0,0,98.84,10,A,Rural,3300,1
0.596,21546,262550,0,0,0,98.95,14,B,Rural,15900,1
1,18258,153990,0,1,1,99.25,5,D,Urban,7500,1
0,21175,1950090,2,0,0,99.41,10,A,Urban,60000,1
0.05,17531,105140,0,0,0,98.19,17,A,Rural,3300,1
0.479,11327,199250,0,0,0,98.95,12,D,Urban,9600,1
0,23731,150120,0,0,0,99.3,5,A,Rural,7500,1
0.235,23731,1200090,0,0,0,99.87,6,A,Urban,55800,1
0.272,18987,240040,0,0,0,99.45,10,C,Urban,1200,1
0.015,27754,162550,0,0,0,99.23,14,A,Urban,7500,1
0.003,23365,162030,0,0,0,98.09,15,A,Urban,7500,1
0.371,18985,132410,0,0,0,98.9,10,A,Rural,11700,1
0.022,21546,277910,0,0,0,99.47,15,D,Urban,13800,1
0.035,23003,182670,0,0,0,99.44,6,A,Rural,9600,1
0.977,16795,162610,0,1,0,99.66,9,A,Urban,9600,1
0.083,24830,100050,0,0,0,97.83,26,A,Urban,5700,1
0,13510,279530,0,0,0,98.1,12,C,Urban,11700,1
0.155,28113,200030,0,0,0,99.25,27,A,Urban,5400,1
0.909,10229,67840,0,0,0,98.63,7,A,Rural,3300,1
0.649,14610,180050,0,0,0,99.11,7,A,Urban,11700,1
0.24,23738,124470,0,0,0,99.1,9,B,Urban,3300,1
0.061,23736,437550,0,0,0,99.65,7,D,Rural,20100,1
0.259,18991,251600,0,0,0,97.72,23,B,Rural,9600,1
0.036,21540,58080,0,0,0,98.9,8,A,Rural,7500,1
0.863,18623,93050,0,0,0,99.56,5,A,Rural,7500,0
0.742,14243,223840,1,0,1,99.16,7,D,Rural,9600,1
0.548,18987,562110,0,0,1,99.15,26,A,Urban,24300,1
0.519,18626,349350,0,0,0,99.07,13,A,Urban,20100,1
0.267,18629,187540,0,0,0,97.96,27,D,Urban,1200,1
0.652,17898,342100,2,0,0,98.59,28,A,Rural,3300,0
0.068,18995,78990,2,0,1,98.65,8,B,Urban,5400,1
0.012,17164,194570,0,0,0,98.32,10,C,Urban,1200,1
0.463,17167,485030,0,0,0,99.25,17,A,Urban,13800,1
0.618,17895,76850,0,0,0,99.06,8,A,Rural,7500,0
0.972,14241,156030,1,0,1,99.03,14,C,Rural,5400,1
0.081,16805,135060,0,0,0,99.44,15,B,Rural,7500,1
0.096,12056,100130,0,0,1,99.21,15,A,Urban,5400,1
0.002,18262,300100,0,0,0,98.88,14,C,Rural,24300,1
0.19,24829,252950,0,0,0,98.92,18,A,Urban,18000,1
0.64,14976,135120,0,0,0,98.11,5,B,Rural,3300,1
0.002,8404,90040,0,0,0,NA,4,A,Rural,7500,1
0.741,12420,240120,0,2,0,99.5,6,A,Rural,15900,1
0.072,19353,72130,0,0,0,97.53,8,A,Urban,7500,1
0.648,21548,232680,0,0,0,98.93,15,A,Rural,11700,1
0.001,21905,168140,0,0,0,98.86,7,A,Rural,7500,1
0.191,23372,348050,0,0,0,98.98,18,A,Rural,3300,1
0.318,17890,123030,0,0,0,98.65,9,A,Rural,1200,1
0.215,12058,69130,1,0,0,99.53,10,B,Urban,5700,1
0.059,26658,315080,0,0,0,99.87,11,A,Urban,22200,1
0.029,21547,203630,0,0,0,98.69,10,B,Urban,9600,1
0.765,15337,282220,0,0,0,99.4,13,C,Rural,24300,1
0.797,11689,61010,3,0,0,99.34,9,D,Urban,3300,1
0,13878,123440,1,0,0,99.24,17,C,Rural,5400,1
0.924,18624,195140,1,0,0,98.99,11,C,Rural,1200,1
0.023,26656,66980,0,0,0,99.23,11,B,Rural,3300,1
0.379,12787,61410,0,0,0,97.18,6,D,Rural,3300,1
0.159,21177,400080,0,0,0,99.51,8,A,Urban,5400,1
0.005,23370,78880,0,0,0,99.65,9,A,Urban,5400,1
0.067,26654,249130,0,0,0,99.81,12,A,Urban,13800,1
0.057,18260,152950,7,0,0,98.8,21,C,Urban,3300,1
0.442,15708,154040,0,0,1,99.75,6,B,Urban,1200,1
1,15707,66250,1,0,0,98.77,4,B,Rural,5400,1
0.066,23001,292550,0,0,0,98.47,26,C,Rural,3300,1
0.219,22276,85740,0,0,0,98.8,19,B,Urban,7500,1
0.119,22641,249100,2,2,1,99.13,7,A,Urban,13800,0
0.526,17533,251650,0,0,0,98.75,8,A,Urban,22200,1
0.063,22276,60110,0,0,0,99.43,9,A,Urban,7500,1
0.831,17168,211530,0,0,0,98.35,14,A,Urban,11700,1
0.027,20815,303130,0,0,0,99.13,13,D,Urban,3300,1
0.002,15706,102150,0,0,0,99.01,11,D,Urban,7500,1
0.992,17166,44220,2,0,0,99.07,8,A,Rural,1200,1
0.428,21182,141040,0,0,0,98.53,22,A,Rural,11700,1
1,23731,96970,1,2,0,98.65,6,A,Urban,5400,1
0.002,16065,96080,0,0,0,98.58,9,A,Urban,1200,1
0.028,32855,75040,0,0,0,99.88,7,A,Rural,9600,1
0.528,21912,123060,4,4,0,99.4,12,B,Urban,9600,0
0.635,22271,132120,2,0,0,99,8,A,Urban,9600,0
0.17,13146,400120,0,0,0,99.3,15,C,Rural,47400,1
0.008,29939,45070,0,0,0,99.47,29,A,Urban,1200,1
1,14246,108120,0,0,0,99.63,3,B,Urban,5400,1
0.003,16074,137580,0,0,0,98.36,12,B,Rural,5400,1
0.01,22273,90030,2,0,0,99.83,26,A,Rural,5400,1
0.254,21545,210040,0,0,0,99.7,6,B,Urban,3300,1
0.415,13517,87080,0,0,0,99.78,4,C,Rural,1200,1
0.137,17900,294760,1,0,0,98.97,15,D,Rural,22200,1
0.011,22277,140090,0,0,0,99.21,9,D,Urban,11700,1
0.084,13151,150080,0,0,0,98.92,17,C,Rural,7500,1
0.277,12415,78130,0,0,0,99.27,10,A,Urban,5700,1
0.384,15700,42100,0,0,0,99.48,8,B,Urban,3300,1
0.503,15335,287590,0,0,0,99.67,6,A,Rural,15900,1
0.042,22278,225100,0,0,0,98.95,5,B,Urban,22200,1
0.008,25563,140030,0,0,0,98.54,17,A,Urban,3300,1
0.886,17897,121380,1,1,0,98.96,9,A,Rural,7500,1
0.03,17527,90090,0,0,0,99.28,18,A,Rural,5400,1
1,14247,174690,0,0,0,99.14,9,B,Rural,1200,1
0.752,16072,279140,0,0,0,99.82,9,D,Urban,13800,1
1,14608,177610,0,0,0,97.69,4,C,Urban,9600,1
1,17899,129150,1,1,0,99.5,4,D,Rural,7500,0
0.835,20453,292710,0,0,0,99.16,9,B,Rural,13800,1
0,11327,135080,0,0,0,99.68,12,A,Rural,13800,1
0.896,17160,382590,4,0,0,99.37,21,A,Urban,32700,1
0.063,13145,195040,0,0,0,99.23,17,C,Urban,15900,1
0,17168,262560,0,0,0,99.89,8,D,Urban,13800,1
0.005,30300,150080,0,0,0,99.89,10,A,Urban,9600,1
0.771,10593,212560,0,0,0,99.38,5,A,Urban,9600,1
0.262,12056,191120,0,0,0,99.17,13,C,Rural,5400,1
0.093,14979,115710,0,0,0,99.87,5,A,Urban,7500,1
0.479,21548,160530,0,1,0,98.3,29,C,Urban,11700,1
0.142,23369,118590,0,0,0,98.94,18,B,Rural,1200,1
0.846,16065,189950,1,0,0,99.74,6,B,Urban,9600,1
1,15701,117530,0,3,1,99.65,3,A,Rural,5400,0
0.077,17892,129030,0,0,0,99.83,10,D,Rural,3300,1
0.431,13879,209500,0,0,0,99.2,5,E,Urban,7500,1
0.023,21547,105050,0,0,0,99.88,6,A,Urban,5400,1
0,24099,172630,0,0,0,99.61,9,A,Urban,11700,1
0.08,20812,274340,0,0,0,99.85,13,A,Urban,13800,1
0.042,28478,240050,0,0,0,99.87,12,B,Urban,9600,1
1,20820,105140,0,0,0,98.24,6,A,Urban,3300,1
0.265,11330,150130,0,0,0,99.65,6,D,Urban,3300,1
0.032,21544,184990,0,0,0,99,21,A,Rural,22200,1
0.075,17527,180120,1,2,0,99.68,22,D,Urban,5400,0
0.32,21183,211710,0,0,0,98.75,39,A,Urban,5400,1
0.363,24466,210050,3,0,0,99.22,19,A,Urban,13800,1
0.954,11692,130080,0,0,0,99.69,5,A,Urban,7500,1
0.105,31034,65740,0,0,0,99.19,16,A,Urban,1200,1
0.068,24463,550090,0,0,0,99.38,21,C,Urban,30600,1
0,19354,135070,0,0,0,98.66,15,A,Rural,7500,1
0.982,10232,73650,0,0,0,99.09,8,B,Rural,3300,1
0.003,21542,127240,0,0,0,99.76,7,A,Rural,5400,1
0.412,28113,45110,0,0,0,99.07,9,A,Rural,5700,1
0,12423,83980,0,0,0,NA,3,B,Rural,1200,1
0.171,20448,75080,0,0,0,98.64,8,A,Rural,5400,1
0.908,12785,54100,2,1,1,99.36,5,A,Urban,3300,0
0.159,12051,144630,0,0,0,99.88,5,B,Rural,11700,1
0.03,21177,99070,0,0,0,98.53,15,A,Rural,5400,1
0.66,17893,225050,0,0,0,98.4,17,B,Rural,9600,1
0.03,18987,166160,0,0,0,99.29,10,B,Rural,20100,1
0.359,13154,159070,0,0,0,98.78,13,B,Urban,7500,0
0.025,17166,91570,0,0,0,98.96,12,A,Urban,5400,1
